Destino |Nombre Casa|Descripción Casa|Número de Habitaciones|Baños|Tipo de propiedad|Confort|Plan alimenticio|Nivel de servicio|Ubicación|Vista|Precio|Simple|Doble|Triple||Max-Adultos||Proveedor|Modalidad|Dirección |Municipio|Email|Fax|Teléfono|Web|Latitud|Longitud|Segmento Turístico||Hotel Amenity|Hotel Amenity|Hotel Amenity|Hotel Amenity|Hotel Amenity|Hotel Amenity|Hotel Amenity|Hotel Amenity|Hotel Amenity|Hotel Amenity|Hotel Amenity|Hotel Amenity||||Room Amenity|Room Amenity|Room Amenity|Room Amenity|Room Amenity|Room Amenity|Room Amenity|Room Amenity|Room Amenity|Room Amenity|Room Amenity
NUEVO VEDADO|Maison Habana|"Maison Habana es una casa ubicada en la zona residencial de Nuevo Vedado en La Habana. Se encuentra a poca distancia de restaurantes, cafeterías, mercados y otros sitios de interés. A solo 5 minutos del Vedado y a 10 minutos del Casco Histórico de la Ciudad. La casa es valorada no solamente por el servicio exclusivo y personalizado las 24 horas, sino también por su vasta colección de obras de arte.

Cuenta con 3 habitaciones climatizadas y con camas king-size. Una de las habitaciones tiene un baño interior y privado, las otras dos habitaciones comparten un baño intercalado. Las tres habitaciones cuentan con TV, armarios con caja fuerte, equipo de música, entre otras comodidades. La casa tiene además varios salones, comedor, baño para invitados y cocina equipada.

Maison Habana cuenta además con un servicio exclusivo gastronómico las 24 horas, donde su chef de cuisin lo invita a deleitar los más exquisitos sabores de la comida cubana e internacional.

En el amplio patio de la casa se encuentran lugares para disfrutar de la privacidad y de la tranquilidad de la misma además de contar con una piscina para refrescar en los días más calurosos."|3|2|Casa|Superior|Bajo Demanda|Superior|Ciudad|Avenida Kholy|400|||||6||Havaning|Ciudad|Calle 43 n. 1120 e/ Kholy y 36|Nuevo Vedado|booking@havaning.com|5358052076|5352678946||||Turismo de negocio, cultural||Aire acondicionado|Bar|Cafetería|Caja fuerte|Minibar|Parqueo|Recepción 24 horas|Servicio de habitaciones|Taxi|Lavandería ($)|Masaje ($)|Piscina exterior|||||Servicio de Habitaciones |Secador de Pelo |Minibar |Baño Privado |Agua Fria y Caliente |Caja de seguridad|Electricidad 110V/60Hz |Electricidad 220V/60Hz ||
NUEVO VEDADO|Casa Horacio|"La Casa Horacio se encuentra en Nuevo Vedado, un barrio residencial y muy tranquilo de la ciudad. A solo 10 minutos en auto del Vedado y a 15 minutos de la Habana Vieja.

En la casa se rentan tres habitaciones en la planta baja, distribuidas al estilo de mini apartamentos. Cada habitación tiene un pequeño salón, TV LED 32”, nevera, armario con caja de seguridad, baño independiente con ducha de agua caliente y fría, secador de pelo y camas king-size. Una de las habitaciones tiene además un jacuzzi para uso privado.

Todas las habitaciones tienen acceso independiente. Los clientes pueden hacer uso además de la planta principal de la casa, donde se encuentran el salón, el comedor, una terraza techada muy amplia con bar, TV y una mesa de billar.

La casa tiene en el exterior un ranchón con barbacoa y horno para realizar asados, y una piscina."|3|3|Casa|Standard|Bajo Demanda|Standard|Ciudad|Calle 41|240|||||6||Havaning|Ciudad|Calle 41 # 1063 e/ 32 y Kholy|Nuevo Vedado|booking@havaning.com|5358052076|5352678946||||Turismo de negocio, cultural||Aire acondicionado|Bar|Cafetería|Caja fuerte|Minibar|Parqueo|Recepción 24 horas|Servicio de habitaciones|Taxi|Equipos audiovisuales|Lavandería ($)|Masaje ($)|||||Servicio de Habitaciones |Secador de Pelo |Minibar |Baño Privado |Agua Fria y Caliente |Caja de seguridad|Electricidad 110V/60Hz |Electricidad 220V/60Hz ||
NUEVO VEDADO|Casa Gabriela|"La Casa Gabriela está en una zona llena de paz y tranquilidad, en Nuevo Vedado. A 300 metros de la calle 26, donde se encuentran la Terminal Interprovincial de Ómnibus Vía Azul, el Zoológico de 26 y el cine Acapulco. Esta zona tiene un fácil acceso hacia otros lugares de interés turístico como el Vedado, que se encuentra a solo 5 minutos en auto, o el Casco Histórico de la Ciudad, a 20 minutos.

Gabriela pone a disposición de los huéspedes la planta alta de la casa, a la que se puede acceder por una entrada independiente. Se rentan tres habitaciones con características similares.

Dos de las habitaciones tienen cama matrimonial, aire acondicionado, armario con caja de seguridad y comparten un baño con bañera. La tercera habitación tiene una cama king size, TV LED 42”, aire acondicionado tipo Split, equipo de música, zona de estudio, balcón y un baño privado con bañera tipo jacuzzi y ducha acristalada.

Hay además una cocina equipada, un pequeño gimnasio y una terraza muy amplia.

Los clientes pueden acceder también al salón y al comedor que hay en la planta baja de la casa, así como al jardín, donde pueden tomar los desayunos al aire libre."|3|2|Casa|Superior|Bajo Demanda|Standard|Ciudad|Calle 43|165|||||6||Havaning|Ciudad|Calle 41 # 1658 e/ 36 y Lindero|Nuevo Vedado|booking@havaning.com|5358052076|5352678946||||Turismo de negocio, cultural||Aire acondicionado|Bar|Cafetería|Caja fuerte|Minibar|Parqueo|Recepción 24 horas|Servicio de habitaciones|Taxi|Equipos audiovisuales|Lavandería ($)|Masaje ($)|||||Servicio de Habitaciones |Secador de Pelo |Minibar |Baño Privado |Agua Fria y Caliente |Caja de seguridad|Electricidad 110V/60Hz |Electricidad 220V/60Hz ||
NUEVO VEDADO|Avenida Kholy|"El inmueble fue la mansión de los Marqueses de Prado Ameno y en el se recrean las características principales de una vivienda aristocrática cubana del siglo XIX; muy cerca de la Plaza de la Catedral, la Plaza de Armas y a unos pasos de la calle Obispo permite a sus huéspedes un rápido acceso a los lugares de interés más importantes dentro del casco histórico.

La historia de la vivienda está estrechamente relacionada con la historia de Cuba debido a que el célebre poeta negro Juan Francisco Manzano quién fuera esclavo de los Marqueses de Prado Ameno, logrço su libertad gracias a gestiones benéficas de personalidades de la época como Domingo del Monte y José de la Luz y Caballeros.

El ambiente presente en el hotel invita al descanso y a la relajación gracias a la brisa que se puede sentir desde su patio, a la sencillez y elegancia de su decoración y a la calidez de sus muros y del personal que le atenderá. 

El hotel cuenta con 16 habitaciones entre estándar, junior suites y suites, todas perfectamente equipadas para garantizarle una grata estancia."|4|4|Casa|Superior|Bajo Demanda|Standard|Ciudad|Avenida Kholy|400|||||8||Havaning|Ciudad|Ave. Kholy # 171 e/ 39 y 41|Nuevo Vedado|booking@havaning.com|5358052076|5352678946||||Turismo de negocio, cultural||Aire acondicionado|Bar|Cafetería|Caja fuerte|Minibar|Parqueo|Recepción 24 horas|Servicio de habitaciones|Taxi|Equipos audiovisuales|Lavandería ($)|Masaje ($)|||||Servicio de Habitaciones |Secador de Pelo |Minibar |Baño Privado |Agua Fria y Caliente |Caja de seguridad|Electricidad 110V/60Hz |Electricidad 220V/60Hz ||
VEDADO|Apartamento Zoila|"El apartamento Zoila se encuentra en el emblemático edificio Focsa del Vedado, uno de los puntos más altos y con mejores vistas de la ciudad. En los alrededores puede encontrar todo tipo de restaurantes, cafeterías, centros nocturnos, teatros, así como casas de cambio de moneda (CADECA), bancos, correos y tiendas de alimentos.

El apartamento se encuentra en la 11ª planta y tiene las siguientes características:

Una habitación con cama matrimonial y baño privado.
Dos habitaciones con cama matrimonial y baño compartido.
Baños con ducha, agua caliente y presión de agua constante.
Mini-bar en cada una de las habitaciones.
Armarios empotrados.
Aire acondicionado tipo split en las habitaciones.
 Amplio salón-comedor con decoración minimalista.
TV LED 32″ en el salón.
Vistas panorámicas del mar y parte de la ciudad desde todas las habitaciones."|3|2|Apartamento|Standard|Bajo Demanda|Standard|Ciudad|al Mar|120|||||6||Havaning|Ciudad|Calle 17 n. 55 apto 11A e/ M y N edif Focsa|Vedado|booking@havaning.com|5358052076|5352678946||||Turismo de negocio, cultural||Aire acondicionado|Caja Fuerte|Minibar|Parqueo|Recepción 24 horas|Servicio de habitaciones|Taxi|Equipos audiovisuales|Lavandería ($)|Masaje ($)|Elevadores|Minimercado|||||Servicio de Habitaciones |Secador de Pelo |Minibar |Baño Privado |Agua Fria y Caliente |Caja de seguridad|Electricidad 110V/60Hz |Electricidad 220V/60Hz ||
VEDADO|Apartamento Ana Julia|"El Apartamento Ana Julia se encuentra en el piso 21 del edificio Focsa, en una zona muy céntrica del Vedado. Está cerca de tiendas, restaurantes, casas de cambio de moneda (CADECA), bancos, mercados, centros nocturnos y diversos atractivos turísticos. A 300 metros están Hotel Nacional y del Malecón Habanero.

Se trata de un apartamento con carácterísticas exepcionales. Tiene un amplio salón-comedor, terraza con vistas panorámicas y tres amplias habitaciones.

La primera habitación tiene una cama doble, aire acondicionado, ventilador, baño independiente con ducha caliente y TV.

La segunda habitación tiene una cama doble con forma redonda, aire acondicionado, ventilador, TV y ventana con vistas. El baño es compartido con la tercera habitación y posee ducha caliente.

La tercera habitación dispone de dos camas sencillas, ventilador, TV, ventana con vista al mar y la ciudad, y comparte también un refrigerador con la segunda habitación del apartamento.

El apartamento es semi-independiente, pues los inquilinos tienen total privacidad aunque siempre hay alguna persona de servicio a su disposición en una zona que no interfiere con el área donde están los huéspedes. Al personal de servicio se puede acudir en caso de que necesiten servicios gastronómico, servicio de lavandería o cualquier otra necesidad."|3|2|Apartamento|Standard|Bajo Demanda|Standard|Ciudad|Ciudad|120|||||6||Havaning|Ciudad|Calle 17 n. 55 apto 21 G e/ M y N edif Focsa|Vedado||5358052076|5352678946||||Turismo de negocio, cultural||Aire acondicionado|Caja Fuerte|Minibar|Parqueo|Recepción 24 horas|Servicio de habitaciones|Taxi|Equipos audiovisuales|Lavandería ($)|Masaje ($)|Elevadores|Minimercado|||||Servicio de Habitaciones |Secador de Pelo |Minibar |Baño Privado |Agua Fria y Caliente |Caja de seguridad|Electricidad 110V/60Hz |Electricidad 220V/60Hz ||
VEDADO|Apartamento Marilyn|"El apartamento Marilyn se encuentra en la planta 15 del emblemático edificio Focsa, en el Vedado. En los alrededores de este edificio se puede encontrar todo tipo de comercios y atracciones turísticas: Restaurantes, cafeterías, teatros, centros nocturnos, mercados, etc.

Este apartamento es independiente y tiene las siguientes características:

Dos habitaciones con cama matrimonial y un baño compartido.
Una habitación con cama matrimonial y un baño privado.
Baños con ducha, agua caliente y presión de agua constante.
Aire acondicionado en cada habitación.
TV LED 32″ en las habitaciones.
Salón-comedor amplio con decoración estilo años 50.
Cocina equipada.
Terraza acristalada.
Salón de estar en la terraza."|3|2|Apartamento|Standard|Bajo Demanda|Standard|Ciudad|Ciudad|120|||||6||Havaning|Ciudad|Calle 17 n. 55 apto 15 G e/ M y N edif Focsa|Vedado|booking@havaning.com|5358052076|5352678946||||Turismo de negocio, cultural||Aire acondicionado|Caja Fuerte|Minibar|Parqueo|Recepción 24 horas|Servicio de habitaciones|Taxi|Equipos audiovisuales|Lavandería ($)|Masaje ($)|Elevadores|Minimercado|||||Servicio de Habitaciones |Secador de Pelo |Minibar |Baño Privado |Agua Fria y Caliente |Caja de seguridad|Electricidad 110V/60Hz |Electricidad 220V/60Hz ||
VEDADO|Apartamento Tonny|"El Apartamento Tonny se encuentra en la planta 17 del emblemático edificio FOCSA en el Vedado. En una zona muy comercial llena de todo tipo de entretenimientos: restaurantes, bares, centros nocturnos, hoteles, mercados y tiendas.

El apartamento se renta totalmente independiente. Cuenta con salón, comedor, cocina equipada, patio de lavado, dos habitaciones climatizadas y un baño. Tiene unas vistas impresionantes de gran parte de la ciudad y del mar."|3|2|Apartamento|Standard|Bajo Demanda|Standard|Ciudad|Ciudad|120|||||6||Havaning|Ciudad|Calle 17 n. 55 apto 15 G e/ M y N edif Focsa|Vedado|booking@havaning.com|5358052076|5352678946||||Turismo de negocio, cultural||Aire acondicionado|Caja Fuerte|Minibar|Parqueo|Recepción 24 horas|Servicio de habitaciones|Taxi|Equipos audiovisuales|Lavandería ($)|Masaje ($)|Elevadores|Minimercado|||||Servicio de Habitaciones |Secador de Pelo |Minibar |Baño Privado |Agua Fria y Caliente |Caja de seguridad|Electricidad 110V/60Hz |Electricidad 220V/60Hz ||
VEDADO|Apartamento Yania|"El apartamento Yania se encuentra a solo 300 metros del malecón habanero, muy cerca de los principales centros y lugares de interés de La Habana. Rodeado de nuevas paladares y cafeterías, así como tiendas, mercados, centros nocturnos, etc.

Se trata de un apartamento privado y completamente amueblado. Ubicado en la zona residencial del Vedado. El apartamento cuenta con una excelente decoración e iluminación. Se rentan dos habitaciones climatizadas. Una de las habitaciones tiene una cama matrimonial y la otra tiene dos camas individuales. Ambas poseen armario. Hay un baño compartido, sala-comedor, cocina y terraza con vistas a la calle."|2|1|Apartamento|Standard|Bajo Demanda|Standard|Ciudad|Calle Linea|80|||||4||Havaning|Ciudad|Calle Línea # 1063 esquina 14 Apto 6|Vedado|booking@havaning.com|5358052076|5352678946||||Turismo de negocio, cultural||Aire acondicionado|Caja Fuerte|Minibar|Recepción 24 horas|Taxi|Equipos audiovisuales|Lavandería ($)|Masaje ($)|Elevadores|Masaje ($)|Staff multilingue||||Servicio de Habitaciones |Secador de Pelo |Minibar |Agua Fria y Caliente |Caja de seguridad|Electricidad 110V/60Hz |Electricidad 220V/60Hz |||||
VEDADO|Apartamento Erick|"Apartamento ubicado en la calle Línea, en el Vedado. A solo 300 metros del malecón habanero. Cercano a todo tipo de lugares de interés: restaurantes, cafeterías, centros nocturnos, teatros, etc. Está a 10 minutos en auto del Centro Histórico de la Ciudad.

Se trata de un apartamento totalmente privado. Tiene cocina equipada, salón, cuarto de lavado, habitación climatizada, cama matrimonial, armario y un baño interior. Posee además una terraza con vistas al mar y parte de la ciudad. El apartamento se encuentra en un 6to piso."|1|1|Apartamento|Standard|Bajo Demanda|Standard|Ciudad|Calle Linea|50|||||2||Havaning|Ciudad|Calle Línea n. 1063 esquina 14 Apto 22|Vedado|booking@havaning.com|5358052076|5352678946||||Turismo de negocio, cultural||Aire acondicionado|Caja Fuerte|Minibar|Recepción 24 horas|Taxi|Equipos audiovisuales|Lavandería ($)|Masaje ($)|Elevadores|Masaje ($)|Staff multilingue||||Servicio de Habitaciones |Secador de Pelo |Minibar |Baño Privado |Agua Fria y Caliente |Caja de seguridad|Electricidad 110V/60Hz |Electricidad 220V/60Hz ||||
